Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #7	Run #7	Run #7	Run #7	Run #8	Run #8	Run #8	Run #8	Run #9	Run #9	Run #9	Run #9	Run #10	Run #10	Run #10	Run #10	Run #11	Run #11	Run #11	Run #11	Run #12	Run #12	Run #12	Run #12	Run #13	Run #13	Run #13	Run #13	Run #14	Run #14	Run #14	Run #14	Run #15	Run #15	Run #15	Run #15	Run #16	Run #16	Run #16	Run #16	Run #17	Run #17	Run #17	Run #17	Run #18	Run #18	Run #18	Run #18
Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.250	1.397	0.00	-0.1	0.250	1.397	0.00	-0.2	0.250	0.243	-0.02	0.1	0.250	0.245	-0.02	-0.3	0.250	0.212	-0.02	-0.4	0.250	0.241	-0.02	-0.1	0.250	0.227	-0.03	0.7	0.250	0.150	-0.01	0.1	0.250	0.206	0.00	-0.1	0.250	0.203	0.00	1.1E-14	0.250	0.183	-0.03	-0.3	0.250	0.198	-0.01	-0.4	0.250	0.171	0.01	-0.3	0.250	0.151	0.00	-0.1
0.275	1.398	5.59E-4	-0.1	0.275	1.397	-0.01	70.7	0.275	0.243	-0.01	2.2	0.275	0.245	-0.03	-0.4	0.275	0.211	-0.04	0.9	0.275	0.240	-0.02	1.9	0.275	0.226	0.01	3.7	0.275	0.150	-0.01	-0.1	0.275	0.206	-0.01	-0.3	0.275	0.203	0.00	0.0	0.275	0.182	-0.04	-0.6	0.275	0.198	-0.02	-0.6	0.275	0.171	0.00	-0.5	0.275	0.151	0.00	-0.3
0.300	1.397	0.00	-0.1	0.300	1.397	3.54	-386.1	0.300	0.243	0.09	5.8	0.300	0.244	-0.04	0.1	0.300	0.210	0.02	4.7	0.300	0.240	0.08	6.0	0.300	0.228	0.16	7.6	0.300	0.149	-0.01	-0.1	0.300	0.206	-0.02	-0.3	0.300	0.202	0.00	-0.1	0.300	0.181	-0.06	0.3	0.300	0.197	-0.03	-0.5	0.300	0.171	-0.02	-0.7	0.300	0.151	-0.01	-0.2
0.325	1.398	0.00	0.0	0.325	1.574	-19.31	-545.2	0.325	0.247	0.28	8.5	0.325	0.243	-0.03	2.0	0.325	0.212	0.20	8.3	0.325	0.244	0.28	8.9	0.325	0.234	0.39	9.4	0.325	0.149	-0.01	0.0	0.325	0.205	-0.02	-0.3	0.325	0.202	-0.01	-0.3	0.325	0.179	-0.03	3.5	0.325	0.196	-0.04	-0.3	0.325	0.170	-0.04	-0.6	0.325	0.150	-0.01	-0.3
0.350	1.397	0.00	0.1	0.350	0.431	-23.72	344.8	0.350	0.257	0.51	9.7	0.350	0.243	0.06	5.6	0.350	0.220	0.43	9.5	0.350	0.254	0.52	9.7	0.350	0.247	0.63	9.7	0.350	0.149	-0.01	0.0	0.350	0.205	-0.03	-0.2	0.350	0.202	-0.02	-0.3	0.350	0.179	0.12	7.4	0.350	0.195	-0.05	-0.3	0.350	0.169	-0.05	-0.2	0.350	0.150	-0.02	-0.6
0.375	1.397	0.00	0.2	0.375	0.388	-2.07	440.4	0.375	0.273	0.76	9.7	0.375	0.246	0.25	8.5	0.375	0.234	0.67	9.5	0.375	0.270	0.77	9.8	0.375	0.266	0.87	9.8	0.375	0.148	-0.01	3.1E-16	0.375	0.204	-0.03	-0.1	0.375	0.201	-0.02	0.2	0.375	0.185	0.34	9.4	0.375	0.194	-0.06	-0.3	0.375	0.168	-0.05	0.3	0.375	0.149	-0.04	-0.5
0.400	1.397	0.01	0.1	0.400	0.328	-1.71	26.4	0.400	0.295	1.00	9.5	0.400	0.255	0.49	9.6	0.400	0.253	0.91	9.6	0.400	0.293	1.01	9.7	0.400	0.291	1.12	9.5	0.400	0.148	-0.01	0.0	0.400	0.203	-0.04	-0.3	0.400	0.201	-0.01	1.9	0.400	0.197	0.58	9.7	0.400	0.192	-0.07	-0.3	0.400	0.167	-0.03	1.3	0.400	0.148	-0.05	0.0
0.425	1.398	0.01	-0.2	0.425	0.303	-0.75	26.7	0.425	0.323	1.24	9.5	0.425	0.270	0.73	9.6	0.425	0.279	1.15	9.5	0.425	0.321	1.25	10.1	0.425	0.321	1.35	9.4	0.425	0.148	-0.01	-0.1	0.425	0.202	-0.05	-0.5	0.425	0.201	0.07	5.0	0.425	0.214	0.82	9.5	0.425	0.190	-0.07	0.1	0.425	0.166	0.02	2.9	0.425	0.147	-0.04	0.2
0.450	1.398	0.00	-0.3	0.450	0.290	-0.37	10.8	0.450	0.357	1.48	9.4	0.450	0.292	0.97	9.5	0.450	0.311	1.39	9.6	0.450	0.355	1.52	9.1	0.450	0.358	1.59	9.3	0.450	0.147	-0.02	0.0	0.450	0.200	-0.06	-0.4	0.450	0.204	0.24	8.1	0.450	0.238	1.06	9.4	0.450	0.189	-0.06	1.6	0.450	0.168	0.11	4.6	0.450	0.146	-0.04	0.1
0.475	1.397	-0.01	0.0	0.475	0.284	-0.21	4.5	0.475	0.396	1.71	9.4	0.475	0.319	1.21	10.0	0.475	0.348	1.63	9.6	0.475	0.397	1.71	8.0	0.475	0.401	1.82	9.6	0.475	0.147	-0.01	1.1	0.475	0.199	-0.07	1.0	0.475	0.213	0.47	9.5	0.475	0.267	1.29	9.5	0.475	0.187	0.01	4.9	0.475	0.172	0.25	6.1	0.475	0.145	-0.04	0.3
0.500	1.398	0.00	0.1	0.500	0.280	-0.14	2.7	0.500	0.442	1.95	9.7	0.500	0.352	1.47	9.5	0.500	0.392	1.86	9.5	0.500	0.441	1.92	10.1	0.500	0.449	2.07	9.9	0.500	0.147	0.04	4.5	0.500	0.197	-0.01	4.3	0.500	0.228	0.72	9.6	0.500	0.302	1.53	9.9	0.500	0.189	0.18	8.4	0.500	0.180	0.42	7.8	0.500	0.144	-0.02	0.6
0.525	1.397	0.00	0.2	0.525	0.277	-0.08	1.8	0.525	0.494	2.19	9.7	0.525	0.392	1.68	8.7	0.525	0.441	2.10	9.7	0.525	0.493	2.21	11.2	0.525	0.504	2.31	9.6	0.525	0.149	0.21	8.4	0.525	0.198	0.15	7.9	0.525	0.249	0.95	9.4	0.525	0.344	1.79	9.5	0.525	0.196	0.43	9.9	0.525	0.193	0.64	9.0	0.525	0.143	-0.01	0.5
0.550	1.397	0.01	0.2	0.550	0.276	-0.05	0.2	0.550	0.552	2.43	9.4	0.550	0.436	1.90	10.0	0.550	0.497	2.35	9.5	0.550	0.551	2.48	12.2	0.550	0.565	2.55	9.4	0.550	0.157	0.46	9.7	0.550	0.205	0.38	9.4	0.550	0.276	1.19	9.5	0.550	0.392	2.01	9.1	0.550	0.210	0.68	9.5	0.550	0.212	0.87	9.6	0.550	0.143	-5.74E-5	0.2
0.575	1.398	0.01	-0.1	0.575	0.274	-0.07	-0.6	0.575	0.615	2.66	9.5	0.575	0.487	2.18	9.9	0.575	0.559	2.58	9.9	0.575	0.617	2.82	24.3	0.575	0.631	2.78	10.5	0.575	0.172	0.70	9.4	0.575	0.217	0.62	9.6	0.575	0.308	1.43	9.6	0.575	0.444	2.24	9.6	0.575	0.230	0.90	9.1	0.575	0.237	1.11	9.7	0.575	0.143	0.00	0.3
0.600	1.398	0.00	-0.4	0.600	0.272	-0.08	0.3	0.600	0.685	2.90	9.6	0.600	0.545	2.40	8.8	0.600	0.626	2.84	10.7	0.600	0.692	3.70	5.9	0.600	0.704	3.07	9.5	0.600	0.192	0.93	9.3	0.600	0.235	0.86	9.6	0.600	0.347	1.67	9.7	0.600	0.504	2.49	9.7	0.600	0.255	1.13	9.4	0.600	0.268	1.36	9.6	0.600	0.144	0.02	0.6
0.625	1.398	-0.01	-0.1	0.625	0.270	-0.06	0.9	0.625	0.760	3.15	9.9	0.625	0.607	2.62	10.1	0.625	0.701	3.12	9.4	0.625	0.802	3.12	-20.3	0.625	0.785	3.26	7.5	0.625	0.218	1.16	9.5	0.625	0.260	1.10	9.5	0.625	0.392	1.91	9.5	0.625	0.569	2.73	10.5	0.625	0.287	1.37	9.7	0.625	0.304	1.59	9.5	0.625	0.144	0.03	0.3
