Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #12,Run #13,Run #13,Run #13,Run #13,Run #14,Run #14,Run #14,Run #14,Run #15,Run #15,Run #15,Run #15,Run #16,Run #16,Run #16,Run #16,Run #17,Run #17,Run #17,Run #17,Run #18,Run #18,Run #18,Run #18
Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2)
0.275,1.398,5.59E-04,-0.1,0.275,1.397,-0.01,70.7,0.275,0.243,-0.01,2.2,0.275,0.245,-0.03,-0.4,0.275,0.211,-0.04,0.9,0.275,0.24,-0.02,1.9,0.275,0.226,0.01,3.7,0.275,0.15,-0.01,-0.1,0.275,0.206,-0.01,-0.3,0.275,0.203,0,0,0.275,0.182,-0.04,-0.6,0.275,0.198,-0.02,-0.6,0.275,0.171,0,-0.5,0.275,0.151,0,-0.3
0.3,1.397,0,-0.1,0.3,1.397,3.54,-386.1,0.3,0.243,0.09,5.8,0.3,0.244,-0.04,0.1,0.3,0.21,0.02,4.7,0.3,0.24,0.08,6,0.3,0.228,0.16,7.6,0.3,0.149,-0.01,-0.1,0.3,0.206,-0.02,-0.3,0.3,0.202,0,-0.1,0.3,0.181,-0.06,0.3,0.3,0.197,-0.03,-0.5,0.3,0.171,-0.02,-0.7,0.3,0.151,-0.01,-0.2
0.325,1.398,0,0,0.325,1.574,-19.31,-545.2,0.325,0.247,0.28,8.5,0.325,0.243,-0.03,2,0.325,0.212,0.2,8.3,0.325,0.244,0.28,8.9,0.325,0.234,0.39,9.4,0.325,0.149,-0.01,0,0.325,0.205,-0.02,-0.3,0.325,0.202,-0.01,-0.3,0.325,0.179,-0.03,3.5,0.325,0.196,-0.04,-0.3,0.325,0.17,-0.04,-0.6,0.325,0.15,-0.01,-0.3
0.35,1.397,0,0.1,0.35,0.431,-23.72,344.8,0.35,0.257,0.51,9.7,0.35,0.243,0.06,5.6,0.35,0.22,0.43,9.5,0.35,0.254,0.52,9.7,0.35,0.247,0.63,9.7,0.35,0.149,-0.01,0,0.35,0.205,-0.03,-0.2,0.35,0.202,-0.02,-0.3,0.35,0.179,0.12,7.4,0.35,0.195,-0.05,-0.3,0.35,0.169,-0.05,-0.2,0.35,0.15,-0.02,-0.6
0.375,1.397,0,0.2,0.375,0.388,-2.07,440.4,0.375,0.273,0.76,9.7,0.375,0.246,0.25,8.5,0.375,0.234,0.67,9.5,0.375,0.27,0.77,9.8,0.375,0.266,0.87,9.8,0.375,0.148,-0.01,3.10E-16,0.375,0.204,-0.03,-0.1,0.375,0.201,-0.02,0.2,0.375,0.185,0.34,9.4,0.375,0.194,-0.06,-0.3,0.375,0.168,-0.05,0.3,0.375,0.149,-0.04,-0.5
0.4,1.397,0.01,0.1,0.4,0.328,-1.71,26.4,0.4,0.295,1,9.5,0.4,0.255,0.49,9.6,0.4,0.253,0.91,9.6,0.4,0.293,1.01,9.7,0.4,0.291,1.12,9.5,0.4,0.148,-0.01,0,0.4,0.203,-0.04,-0.3,0.4,0.201,-0.01,1.9,0.4,0.197,0.58,9.7,0.4,0.192,-0.07,-0.3,0.4,0.167,-0.03,1.3,0.4,0.148,-0.05,0
0.425,1.398,0.01,-0.2,0.425,0.303,-0.75,26.7,0.425,0.323,1.24,9.5,0.425,0.27,0.73,9.6,0.425,0.279,1.15,9.5,0.425,0.321,1.25,10.1,0.425,0.321,1.35,9.4,0.425,0.148,-0.01,-0.1,0.425,0.202,-0.05,-0.5,0.425,0.201,0.07,5,0.425,0.214,0.82,9.5,0.425,0.19,-0.07,0.1,0.425,0.166,0.02,2.9,0.425,0.147,-0.04,0.2
0.45,1.398,0,-0.3,0.45,0.29,-0.37,10.8,0.45,0.357,1.48,9.4,0.45,0.292,0.97,9.5,0.45,0.311,1.39,9.6,0.45,0.355,1.52,9.1,0.45,0.358,1.59,9.3,0.45,0.147,-0.02,0,0.45,0.2,-0.06,-0.4,0.45,0.204,0.24,8.1,0.45,0.238,1.06,9.4,0.45,0.189,-0.06,1.6,0.45,0.168,0.11,4.6,0.45,0.146,-0.04,0.1
0.475,1.397,-0.01,0,0.475,0.284,-0.21,4.5,0.475,0.396,1.71,9.4,0.475,0.319,1.21,10,0.475,0.348,1.63,9.6,0.475,0.397,1.71,8,0.475,0.401,1.82,9.6,0.475,0.147,-0.01,1.1,0.475,0.199,-0.07,1,0.475,0.213,0.47,9.5,0.475,0.267,1.29,9.5,0.475,0.187,0.01,4.9,0.475,0.172,0.25,6.1,0.475,0.145,-0.04,0.3
0.5,1.398,0,0.1,0.5,0.28,-0.14,2.7,0.5,0.442,1.95,9.7,0.5,0.352,1.47,9.5,0.5,0.392,1.86,9.5,0.5,0.441,1.92,10.1,0.5,0.449,2.07,9.9,0.5,0.147,0.04,4.5,0.5,0.197,-0.01,4.3,0.5,0.228,0.72,9.6,0.5,0.302,1.53,9.9,0.5,0.189,0.18,8.4,0.5,0.18,0.42,7.8,0.5,0.144,-0.02,0.6
